,text,_score,_pvalue
1192,ngon,522.7405301955052,1.0722751518957937e-115
2254,đồ_ăn,261.2610323634087,9.11262942065689e-59
1105,món,169.4002334086365,1.00037497086597e-38
1712,thức_ăn,159.66923416699822,1.3363405291430057e-36
2105,ăn_sáng,146.84833046373987,8.470071087178845e-34
115,buffet,125.22514807730636,4.5435721382680205e-29
2092,ít,122.4778035781587,1.8143370114627512e-28
1108,món_ăn,121.71215880893303,2.668799068007949e-28
2101,ăn,118.12639876083837,1.626833937756563e-27
1376,phong_phú,98.20455551839211,3.773209512933975e-23
237,bữa_sáng,83.84615384615385,5.348154070324549e-20
1254,nhà_hàng,79.44784488017125,4.9512456164323785e-19
1723,thực_đơn,50.94003270577701,9.523136867457568e-13
2109,đa_dạng,44.24722464183999,2.894144216092613e-11
1332,nấu_ăn,43.275434243176186,4.7551621404185404e-11
1051,lựa_chọn,37.63902263683887,8.512437847139619e-10
1631,thay_đổi,37.63902263683887,8.512437847139619e-10
1330,nấu,34.9936581651882,3.30780914925304e-09
1713,thức_ăn_ngon,32.45657568238212,1.2188583218937142e-08
2204,đầu_bếp,29.75186104218363,4.910346911301837e-08
778,hợp_khẩu_vị,29.75186104218363,4.910346911301837e-08
240,bữa_ăn,27.04714640198511,1.9855311823058166e-07
1392,phòng,25.008328018658716,5.708322122958038e-07
239,bữa_tối,24.3424317617866,8.06429544958478e-07
1924,tệ,23.90151857058302,1.0139174942693483e-06
1426,phở,22.803744435499393,1.7941580272248252e-06
2186,đơn_điệu,21.637717121588093,3.2931204281344003e-06
550,dịch_vụ,19.665482105138807,9.225281216102114e-06
1193,ngon_miệng,18.93300248138958,1.3539014750998193e-05
1211,ngán,18.93300248138958,1.3539014750998193e-05
1027,lắm,18.62970129735445,1.587282704786932e-05
1928,tối,16.773361106684575,4.212047588606904e-05
2104,ăn_ngon,16.22828784119106,5.6149400953022466e-05
145,bánh,16.22828784119106,5.6149400953022466e-05
346,chế_biến,16.22828784119106,5.6149400953022466e-05
2107,ăn_uống,14.027647167866169,0.00018014240293716234
1636,thiết_kế,13.643768535400671,0.00022097347098306894
1836,trứng,13.523573200992555,0.0002355854314723604
2088,âu,13.523573200992555,0.0002355854314723604
1714,thức_ăn_sáng,13.523573200992555,0.0002355854314723604
1267,nhân_viên,13.153642545808395,0.0002869608497064328
1518,rộng_rãi,13.051854630804446,0.0003029842328986083
287,chuyên_nghiệp,12.330032321516013,0.00044572868975724134
1791,trái_cây,12.248493116826943,0.0004656340343156434
2223,đẹp,12.015596586135928,0.0005275719822060952
1128,mắc,11.77887960581065,0.0005990652946988241
1179,nghèo_nàn,11.77887960581065,0.0005990652946988241
1660,thân_thiện,11.361304114648297,0.0007499015125196834
2106,ăn_trưa,10.818858560794046,0.0010047141201843255
1111,món_ăn_sáng,10.818858560794046,0.0010047141201843255
2288,ẩm_thực,10.818858560794046,0.0010047141201843255
1132,mặn,10.818858560794046,0.0010047141201843255
274,chiên,10.818858560794046,0.0010047141201843255
1858,tây,10.818858560794046,0.0010047141201843255
2214,đắt,10.632610290304875,0.0011111077003626729
1844,tuyệt,10.236347235185649,0.001377000016012395
591,giá_cả,10.207174402986773,0.001398953495193196
201,bếp,9.664598462600829,0.001878528155959687
1930,tốt,9.47309432509856,0.0020850737081487387
1885,tươi,9.3560782662144,0.0022224717906790528
716,hơi,8.581042024488557,0.0033968092676100172
1570,sạch_sẽ,8.538169810439086,0.003477751444957676
1645,thoải_mái,8.480470629301642,0.003589792218483145
760,hồ,8.473332335272735,0.003603906229641825
1403,phòng_tắm,8.133944954128438,0.004344411932962979
1148,mỗi_ngày,8.11414392059553,0.004392120924432579
1608,sự_thay_đổi,8.11414392059553,0.004392120924432579
2015,vừa_miệng,8.11414392059553,0.004392120924432579
742,hải_sản,8.11414392059553,0.004392120924432579
2069,xứng_với,8.11414392059553,0.004392120924432579
2137,điểm_tâm,8.11414392059553,0.004392120924432579
1307,nêm,8.11414392059553,0.004392120924432579
920,la,8.11414392059553,0.004392120924432579
2221,đặc_trưng,8.11414392059553,0.004392120924432579
238,bữa_trưa,8.11414392059553,0.004392120924432579
128,buổi_trưa,8.11414392059553,0.004392120924432579
1328,nước_uống,8.11414392059553,0.004392120924432579
257,cay,8.11414392059553,0.004392120924432579
255,carte,8.11414392059553,0.004392120924432579
870,khẩu_vị,8.11414392059553,0.004392120924432579
241,bữa_ăn_sáng,8.11414392059553,0.004392120924432579
860,không_ngon,8.11414392059553,0.004392120924432579
1581,sống,8.11414392059553,0.004392120924432579
352,chọn_lựa,8.11414392059553,0.004392120924432579
1333,nấu_ăn_ngon,8.11414392059553,0.004392120924432579
1249,nhiệt_tình,8.072126821338866,0.004495132502362458
1916,tận_tình,7.764220183486238,0.005329129944423948
176,bơi,7.530029529511622,0.0060678912965922436
417,có_nhiều,7.495146700000207,0.006186549143334676
1458,quá_tệ,7.188583331436247,0.007336888368829027
1948,uống,7.0138235839330845,0.008088276003271616
106,biệt_thự,6.98659850433674,0.008212227466914083
1354,ok,6.744660520925688,0.009402866691593922
1768,trang_thiết_bị,6.6373351829318,0.009986320311347252
1751,tiện_nghi,6.302064263962413,0.012059745903408102
1406,phòng_ốc,5.902941002384971,0.015115624550947579
1639,thoáng,5.625151749700431,0.017704532942008324
447,cơm,5.409429280397023,0.02002826298853181
2219,đặc_sản,5.409429280397023,0.02002826298853181
1812,trưởng,5.409429280397023,0.02002826298853181
2158,đâu,5.409429280397023,0.02002826298853181
177,bưng,5.409429280397023,0.02002826298853181
733,hương_vị,5.409429280397023,0.02002826298853181
23,20,5.409429280397023,0.02002826298853181
1331,nấu_nướng,5.409429280397023,0.02002826298853181
425,công_phu,5.409429280397023,0.02002826298853181
1064,miền_trung,5.409429280397023,0.02002826298853181
2229,đến_nỗi,5.409429280397023,0.02002826298853181
914,kỳ,5.409429280397023,0.02002826298853181
2255,đồ_ăn_sáng,5.409429280397023,0.02002826298853181
2009,vịnh,5.409429280397023,0.02002826298853181
1761,toàn_thể,5.409429280397023,0.02002826298853181
2095,ít_quá,5.409429280397023,0.02002826298853181
2093,ít_có,5.409429280397023,0.02002826298853181
559,dở,5.409429280397023,0.02002826298853181
1207,nguội,5.409429280397023,0.02002826298853181
418,có_nhà_hàng,5.409429280397023,0.02002826298853181
235,bụng,5.409429280397023,0.02002826298853181
147,bánh_mì,5.409429280397023,0.02002826298853181
1404,phòng_ăn,5.409429280397023,0.02002826298853181
2068,xứng_tầm,5.409429280397023,0.02002826298853181
148,bánh_ngọt,5.409429280397023,0.02002826298853181
1740,tiếp_xúc,5.409429280397023,0.02002826298853181
1150,mỗi_tội,5.409429280397023,0.02002826298853181
1398,phòng_khách_sạn,5.409429280397023,0.02002826298853181
1703,thịt,5.409429280397023,0.02002826298853181
1973,vào_lúc,5.409429280397023,0.02002826298853181
1696,thắc_mắc,5.409429280397023,0.02002826298853181
1807,trưa,5.409429280397023,0.02002826298853181
236,bữa,5.409429280397023,0.02002826298853181
